source,target,value
猫豆,谷子,868
猫豆,海狸,901
猫豆,robber,675
猫豆,水妖,72
猫豆,芋头,1475
猫豆,猫豆,9287
猫豆,走不开,123
猫豆,飘2002,990
咖啡少爷,岛礁,1000
咖啡少爷,最幸福的前旗,590
咖啡少爷,猫豆,1585
咖啡少爷,咖啡少爷,9442
咖啡少爷,阿悠,84
咖啡少爷,鸽子,285
咖啡少爷,阿四,220
咖啡少爷,泡菜,1247
咖啡少爷,向日葵,1181
咖啡少爷,金鱼,302
咖啡少爷,starryday,909
咖啡少爷,毛毛虫,71
咖啡少爷,littlebear,92
咖啡少爷,原子,113
咖啡少爷,走不开,251
咖啡少爷,光头飞车,1206
咖啡少爷,大刀,604
咖啡少爷,成都方方,53
水晶,bobotree,830
水晶,水晶,9605
水晶,蓝皮鼠,1336
水晶,ahello,187
水晶,火鸟,3340
水晶,格格,398
水晶,阿风,289
水晶,tanyueer,10
水晶,liuxingma,294
水晶,龙猫,149
水晶,goofy,3809
水晶,近视,1576
水晶,棒棒,1215
水晶,黑鬼,21
水晶,啊桂,2612
水晶,泡菜,1106
水晶,继缘,504
水晶,海豚瘦了,304
水晶,大头,241
水晶,百合,96
水晶,李子,63
水晶,冬瓜,1602
水晶,萌萌,1889
水晶,秋之叶雨,1453
水晶,白杨,2493
水晶,starryday,240
尘埃,水晶,941
尘埃,goofy,1904
尘埃,大头,361
尘埃,bobotree,1507
尘埃,小黑,119
尘埃,阿青,1664
尘埃,爪爪,1137
尘埃,尘埃,3142
zf811,goofy,27
zf811,zf811,500
zf811,Zephyre,81
zf811,海豚瘦了,24
zf811,ahello,11
zf811,外星人BT,42
zf811,泡菜,111
zf811,蓝皮鼠,209
尘埃,Zephyre,847
尘埃,tanyueer,552
影子,影子,11798
影子,是我呀,131
影子,霏儿,899
影子,泡泡,4575
影子,百合,352
影子,ahello,516
影子,bobotree,938
影子,自由,542
影子,外星人BT,126
影子,火鸟,268
影子,水晶,793
影子,继缘,335
影子,泡菜,912
影子,tanyueer,90
影子,goofy,313
影子,beyondage,1317
影子,格格,144
影子,秋之叶雨,205
影子,wendy,27
影子,酸菜,8
影子,娃娃,292
影子,阿青,190
影子,豆子,318
影子,岚,683
影子,白杨,363
bobotree,energid,163
bobotree,水晶,1138
bobotree,龙猫,555
bobotree,火鸟,4651
bobotree,爪爪,791
bobotree,尘埃,601
bobotree,蓝皮鼠,1315
bobotree,bobotree,27480
bobotree,goofy,1804
bobotree,泡菜,3312
bobotree,小修理工,1140
bobotree,继缘,2056
bobotree,秋之叶雨,1210
bobotree,ahello,1548
bobotree,西雅图不眠夜,247
bobotree,海豚瘦了,1099
bobotree,霏儿,3654
bobotree,阿青,1786
bobotree,robber,3507
bobotree,蒹葭,274
bobotree,棒棒,763
bobotree,大头,306
bobotree,小海,782
bobotree,古怪精灵,1541
bobotree,薄荷,506
bobotree,牛魔王,514
bobotree,无极じ☆飘雪,17
bobotree,pope,379
bobotree,神仙猪,3276
bobotree,air猫,3016
bobotree,白杨,2470
bobotree,豆豆狐,76
bobotree,小阿蒙,93
