symbolSize,value,draggable,category,label
192.5,354,False,猫豆,{'normal': {'show': 'True'}}
76.5,130,False,谷子,{'normal': {'show': 'True'}}
121.0,215,False,海狸,{'normal': {'show': 'True'}}
114.5,221,False,robber,{'normal': {'show': 'True'}}
21.5,39,False,水妖,{'normal': {'show': 'True'}}
68.5,119,False,芋头,{'normal': {'show': 'True'}}
12.5,20,False,走不开,{'normal': {'show': 'True'}}
17.0,21,False,飘2002,{'normal': {'show': 'True'}}
165.0,309,False,咖啡少爷,{'normal': {'show': 'True'}}
81.0,134,False,岛礁,{'normal': {'show': 'True'}}
32.5,59,False,最幸福的前旗,{'normal': {'show': 'True'}}
29.0,44,False,阿悠,{'normal': {'show': 'True'}}
103.5,191,False,鸽子,{'normal': {'show': 'True'}}
38.0,72,False,阿四,{'normal': {'show': 'True'}}
275.0,528,False,泡菜,{'normal': {'show': 'True'}}
12.0,20,False,向日葵,{'normal': {'show': 'True'}}
26.0,46,False,金鱼,{'normal': {'show': 'True'}}
163.5,305,False,starryday,{'normal': {'show': 'True'}}
82.5,157,False,毛毛虫,{'normal': {'show': 'True'}}
56.5,101,False,原子,{'normal': {'show': 'True'}}
64.5,120,False,光头飞车,{'normal': {'show': 'True'}}
16.5,29,False,大刀,{'normal': {'show': 'True'}}
12.0,20,False,成都方方,{'normal': {'show': 'True'}}
206.0,373,False,水晶,{'normal': {'show': 'True'}}
561.5,994,False,bobotree,{'normal': {'show': 'True'}}
142.0,273,False,蓝皮鼠,{'normal': {'show': 'True'}}
186.0,338,False,ahello,{'normal': {'show': 'True'}}
293.0,555,False,火鸟,{'normal': {'show': 'True'}}
89.5,164,False,格格,{'normal': {'show': 'True'}}
447.0,839,False,阿风,{'normal': {'show': 'True'}}
70.5,132,False,tanyueer,{'normal': {'show': 'True'}}
42.5,77,False,liuxingma,{'normal': {'show': 'True'}}
121.5,230,False,龙猫,{'normal': {'show': 'True'}}
228.0,434,False,goofy,{'normal': {'show': 'True'}}
284.0,531,False,近视,{'normal': {'show': 'True'}}
201.5,377,False,棒棒,{'normal': {'show': 'True'}}
70.5,120,False,黑鬼,{'normal': {'show': 'True'}}
315.5,583,False,啊桂,{'normal': {'show': 'True'}}
254.5,493,False,继缘,{'normal': {'show': 'True'}}
390.0,719,False,海豚瘦了,{'normal': {'show': 'True'}}
69.5,118,False,大头,{'normal': {'show': 'True'}}
52.5,98,False,百合,{'normal': {'show': 'True'}}
42.0,77,False,李子,{'normal': {'show': 'True'}}
59.5,107,False,冬瓜,{'normal': {'show': 'True'}}
137.0,249,False,萌萌,{'normal': {'show': 'True'}}
96.0,173,False,秋之叶雨,{'normal': {'show': 'True'}}
251.5,478,False,白杨,{'normal': {'show': 'True'}}
222.0,411,False,尘埃,{'normal': {'show': 'True'}}
72.5,128,False,小黑,{'normal': {'show': 'True'}}
246.0,467,False,阿青,{'normal': {'show': 'True'}}
114.0,216,False,爪爪,{'normal': {'show': 'True'}}
119.5,208,False,Zephyre,{'normal': {'show': 'True'}}
168.5,315,False,外星人BT,{'normal': {'show': 'True'}}
146.5,271,False,影子,{'normal': {'show': 'True'}}
77.5,138,False,是我呀,{'normal': {'show': 'True'}}
283.0,533,False,霏儿,{'normal': {'show': 'True'}}
153.0,285,False,泡泡,{'normal': {'show': 'True'}}
110.5,201,False,自由,{'normal': {'show': 'True'}}
10.0,16,False,wendy,{'normal': {'show': 'True'}}
17.0,30,False,酸菜,{'normal': {'show': 'True'}}
36.5,67,False,娃娃,{'normal': {'show': 'True'}}
142.5,265,False,豆子,{'normal': {'show': 'True'}}
60.0,109,False,岚,{'normal': {'show': 'True'}}
63.5,112,False,energid,{'normal': {'show': 'True'}}
91.5,172,False,小修理工,{'normal': {'show': 'True'}}
26.5,45,False,蒹葭,{'normal': {'show': 'True'}}
193.0,366,False,小海,{'normal': {'show': 'True'}}
496.5,940,False,古怪精灵,{'normal': {'show': 'True'}}
135.0,238,False,薄荷,{'normal': {'show': 'True'}}
42.5,80,False,牛魔王,{'normal': {'show': 'True'}}
15.0,26,False,pope,{'normal': {'show': 'True'}}
740.0,1413,False,神仙猪,{'normal': {'show': 'True'}}
148.5,282,False,air猫,{'normal': {'show': 'True'}}
645.5,1257,False,豆豆狐,{'normal': {'show': 'True'}}
14.5,21,False,小阿蒙,{'normal': {'show': 'True'}}
170.0,328,False,piggy,{'normal': {'show': 'True'}}
48.0,84,False,yang,{'normal': {'show': 'True'}}
30.5,57,False,小皮子,{'normal': {'show': 'True'}}
54.5,103,False,蘑菇,{'normal': {'show': 'True'}}
52.0,91,False,苞苞,{'normal': {'show': 'True'}}
16.5,28,False,小科,{'normal': {'show': 'True'}}
40.0,66,False,蓝天,{'normal': {'show': 'True'}}
172.5,315,False,so,{'normal': {'show': 'True'}}
96.5,183,False,momo,{'normal': {'show': 'True'}}
112.5,209,False,枢辰,{'normal': {'show': 'True'}}
30.5,56,False,鬼混,{'normal': {'show': 'True'}}
13.5,20,False,小安王石,{'normal': {'show': 'True'}}
70.0,128,False,后生,{'normal': {'show': 'True'}}
